id,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed
12,1,Peanut,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,db784cbcf321e1d8856b312638b94113,0,aaedd873d,1,2
13,2,2 Mths Old Cute Kitties,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,2c118b2a1d1b4cf1f735089c7c0a07c0,0,4a9793dfb,1,1
14,1,Lost Dog,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,b609c40c6c840db208b149a19b856f86,0,c02be41e6,2,2
15,1,Max,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,39112c637c80a6055e8ec544416abffe,0,1fd342e17,2,4
16,2,Brownie,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,58e3aa0b4b78e8879f81774ede0646fe,0,b38a74866,1,3
17,1,Blackie,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,4e3dec1544d1407fce5d65fd0f037e26,0,f9d07d5fa,2,4
18,1,Beauty,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,1c92ce464,8,2
19,2,,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,b752f78276215f44581eeb6eea1e63bc,0,b10e7605a,1,4
20,1,Godiva,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,6436c1a59,7,2
21,1,Tigers,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,fa7cd6caa034d4332fc75d70807e83a3,0,234a5a54c,5,4
24,2,Cikenet,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,b8853c71b981104f1ef126e51387b616,0,988988d5b,19,1
25,2,Garfield,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,41326,001e42763024f9d4abe31e79472b1827,0,cf7d3eec0,3,2
26,2,No Name,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,1b9bb5275677d26b00604f24439c81fc,0,85fc3c314,11,1
27,2,No Name,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,2f846fb8f87a25678374e193559d83c9,0,efbf1703a,2,2
29,2,Pepper,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,86552e2f34c929a01f7841cbd8865b20,0,d341fbfd6,1,2
30,1,Benji & Kimi,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,1a76190c5,5,3
31,2,Kekok,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,3cbe8b84e5b4852b5923c348fefcdf31,0,edb920079,1,1
32,1,BoiBoi,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,543130f60,1,4
33,2,,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,41326,7d58438884ab468dce87c7e252bbd6e4,0,9415bc79e,7,3
34,2,Kitten Girl Girl,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,41327,6e4f4078c85aaa01b4059fbf679e6695,0,4c6fe4100,5,4
35,2,Tom,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,41326,76f0a2be251f10691a62e16409b95e47,0,0737e4f11,5,1
36,2,,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,90b00f90ffdf9ec1cac529a2bbef3ecc,0,61fa73996,2,4
37,2,Comel,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,b020ad4c866a9f17be0ab3beaa38c78c,0,eabb13cea,3,1
38,1,WHISKY,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,deff069a2,4,1
39,1,Boy,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,6757d0b9d5b72d8b78c20e355c7fe62c,0,4e3640544,1,3
40,2,Angel,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,41326,3608ac1e44811d7ccba91924b68c8cf5,0,ace21b6b1,13,3
41,2,"Drax Aka Fatso, Quill & Rocket",1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,41326,dc161f335e8afdc4b7db7a0d1006450a,0,8ee223a17,1,2
42,2,Novy,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,41326,813db17af7694027ab11db3245900c99,0,9a38d4275,1,1
43,1,Jack,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,671ffc570,6,3
44,1,Xiao Gou,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,41336,61c1f7b917b7f6772c5e77849c2b4127,0,aece6e7bf,2,4
45,1,Blackie & Spotty,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,5788b8639ed178795510a8cbe72ccc28,0,c1e816568,11,4
46,2,Cimpuk,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,41326,ce824bb488ae6a8f115a923135d1a642,0,22f6c0ac6,13,3
47,1,Lollipop,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,c9a898071102b4fc7d485be4ff0e35d9,0,ea159d8da,3,4
48,1,Cute Puppies,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,af1035c81,3,3
49,2,Alang,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,41326,d835d7d98b94ec261d6d889a39eaed73,0,0d25f084f,3,2
50,1,Blackie Duo,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,6fecc5cf7,13,3
51,2,Cedric Jones,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,41401,8ffce5c58bc69ccac0ceee68ddce6ffd,0,7fe8ef73d,1,4
52,1,BouncerBoy: Beagle Mix,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,015c75c9e,3,3
53,1,Mummies,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,41326,db37468644b7600f55f9c0bab40acf59,0,9609a0b86,5,4
55,2,Kitties,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,41401,ccab255657ce17ccbde14b74e89353de,0,f6551137d,15,2
56,2,Hitler (rename-able),5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,41326,4d5f43732b32887e08b4e83eac8f62e0,0,8c131db77,4,4
57,1,Skippy,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,a23a047157d709e38cf801a723a246ba,0,d765ae877,2,2
58,1,Ceasar,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,41326,2bae234d5ea501d9e1671b9154c6dc70,0,8ce183889,3,1
59,2,Chocolate And Kitten,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,56e5bf402cb852ece2604f92e4c5c2a2,0,9c0ddccc8,1,4
60,2,Puss In Boots,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,41326,8e8304b632d3868293bd3fd89b105e90,0,f9df8656a,5,1
61,1,Lego,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,f0ef9c777,2,4
62,1,Milky,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,41326,167e96a28fab246120f636262f0308d4,0,3181e5424,2,4
63,1,IO-Male-03,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41327,ba86004409dfbe41d6d72cc92a31439b,0,9883a048e,5,2
64,1,Little Yelpers,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,41326,e62135526c27156b8479420aad166317,0,b0dec8779,21,3
65,1,Ding Ding,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,41326,3b4973ac9e6a430314f5cfd356fdb3e4,0,e8d0907ae,5,1
66,2,,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,41324,e3bbcf8a10e96c7ec63e557a176c9aa0,0,e540c1ba5,1,4
67,2,Bill & Ben,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,41401,2c711fc92ce10361f5b624d5a9c1e139,0,4a4db4d32,1,2
68,2,Almond,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,e28bf3c810e2b06bc9d5fe56740fdbcd,0,98a98311c,1,2
69,1,Jasz,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,41401,de218e291145dbc92083d5bc292d10b8,0,ef14861df,3,4
70,1,QiQi,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,a9bc357f0,1,4
71,1,H3,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,aaf4a1439,1,3
72,1,Baby / Bubbles,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,41401,d2ec92fbdbf1e452b57cd25b3d51bc72,0,1e62e6022,5,1
73,1,Ollie,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41326,0e18b1cafeff35a2ba291e3c7e31255d,0,4e797dcdd,3,4
74,1,9 Puppies For Adoption!,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,41335,80ecb2b31b27d310c829d09e1570cef9,0,45d2ddcb8,5,2
75,1,Coco,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,259b10a3e,1,0
76,1,Pebbles & Pepper,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,41326,603f4e699a92fb6b4f0479c1a3c6e13f,1,d2490c888,3,4
77,1,Zoe,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,bb37f98b63ae488316a12dc070c4d075,0,2c93c0c11,3,3
78,1,Z3,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,35593da00,5,1
79,1,,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,89c6f93e7aa2c394634306ac9efe4072,0,4cc70e613,1,3
80,1,MPSP-F-01,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,41327,3223e1c4cb2bef48823ee5c604b9aa04,0,ff125cf8d,1,4
81,1,Teddy,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,d03a75a35edc98d0c4eaab6cc0157d0b,0,c30dd6e9a,2,1
82,1,Tanto In Kulim,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,5b713a4d7902d3e516f80a0761afc403,0,be9474b85,1,2
83,1,Cody,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,815f4cc08,3,3
84,2,Malee,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,74dabecce4ddb0c4d08892255974496b,0,ec5069cf6,4,3
85,1,Mayo 2 Pups,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,867308404,3,2
86,2,Lulu,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,41326,299e22e2f31f5a1be0fa923ca3cd90a3,0,e9df3ead7,2,4
87,1,Rottweiler Puppy,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,5cbf7860da1936f71acb44d6c1b8b292,0,258667857,4,2
88,1,Lion Dog In Training,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41330,f2522890ad604bf70421af61cb871a96,3,fd3172797,11,3
89,1,Molly,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,e03a1162538a0414d6c79823ad6c2744,4,8df0bb3b3,18,3
90,1,Rocky 06,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,f2522890ad604bf70421af61cb871a96,0,3d0752cd9,5,3
91,2,Kiki & Lala,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,41326,623948fc0c0269298e8aa2493b7dd2a7,0,22051ab84,3,4
93,2,Si Kuning,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,e6ea7180b4e5320b0006e6e2f65397d9,0,370fe2afb,12,3
94,2,Xiao Huang,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,41326,c5dd3fa6810843a5806906d1991af7f4,0,dd308e46b,1,4
95,1,HeiHei,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,051023f822efb1612c95900fa7656f39,0,6a763a055,2,3
96,2,Manja,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,41401,12c51d7222986fbf000db9061f5082be,0,5e4154870,3,1
97,1,Miko,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,a44d42407,3,3
98,1,Fei Chai,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41336,53b2190d32ed23e43daf8b6bb7ca4231,0,cc8401c02,3,3
99,2,,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,41326,c3f6408e1ee043b38bd0d39558b8edf5,0,0f24b6cd6,1,1
100,2,,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,41401,badbeceda6035a19ccfb1fde96482243,0,49bb70e36,1,2
101,1,Sweetie Pie,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,41326,12deeea11a39a3da448d425b42eaee1d,0,43ddb2eb4,2,2
102,1,Jasz Michael,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,41401,f6593a1c5d44e6b10048105280701642,0,dae92dd61,3,4
103,1,C,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,a6ac8884b,1,3
104,2,Honey,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,41326,5a60b3e485efdf4a18344c4cf14d02eb,0,60ce9e319,7,1
105,2,Meelow,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41401,1004c35eccb48a99a16726b45f0d7baa,0,5247209aa,2,2
106,2,SYLVESTER,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,41401,9b52af6d48a4521fd01d4028eb5879a3,0,19b1f4263,3,0
107,1,Doggie R4,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,b770bac0ca797cf1433c48a35d30c4cb,0,d50e11ec5,2,3
108,2,,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,41401,abe54643224ddbb5c199cd46fbca0392,0,4407e70f3,2,1
109,1,Pretzel,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,39f6f321507e2791e7c12d3f946bc5bf,0,27b6e5aca,4,4
110,1,,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,41327,71ebc64aef066476aabc21ca36c5650a,0,80ebea85c,5,3
111,2,Mimi,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,41324,08e6e9a38d5c2275b28c2ae4432c9130,0,1bf1f95ef,1,4
112,2,Charlie Tux,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,41401,13b3c0d8590208d6e60e7118bc3b98d1,0,cdab8ba8e,5,2
113,1,,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,41401,528e832163898e9863fd2cc1dcdc3126,0,b84dad49f,3,4
114,1,Rocket,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41326,eeb152df9a17158315a78e78a2bc93d9,0,f0a2122d4,4,4
115,2,,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,41326,10dec111cc1026ade84cbae3bc17940e,0,1104fe6bb,2,4
116,1,Jessy (Golden Retriever),36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,41326,07b1ad054b89aec4847067fde31bf1f2,0,46d88ca3e,4,1
117,2,,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,41326,d385a3b7e7d8c858acc5f6db31f1febb,0,b99d5d532,3,4
119,2,DIDO,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,41326,167119eeb94dec6c615c602952c527c8,0,b9429dc85,4,1
120,1,,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,41326,4adf17f7d78a2ea23a77ff056b5e7779,0,c61f6507e,3,1
121,1,Kaiser,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,41326,35a01a2c77e0c2b18d9ac61b7636edd9,0,e464fcd4b,4,2
122,1,Oscar,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,41332,e3e5215fd4da172889c90fd3f10558ff,0,86379f12f,1,2
123,2,KITTENS LITTER #2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,41401,da6c64c056c070bbb5f840d5e233b581,0,55fcdea2f,3,3
124,1,KT(female) & TM (male),0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,41326,93b9bd02cfbd0944686ceee8798b9eec,0,392d3346e,4,1
125,2,Zoro,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,66044942690776d858708bfc7c166078,1,33db028cb,1,2
126,1,WonderBoy,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,35c0c3aca,6,3
127,1,Ruby,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,41401,b2741da861b4ce23042862d387f14345,0,d080818c3,3,3
128,1,Milo,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,6f0cb510a,3,1
129,1,"Michelle, Dolphine, Sarah",3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,41332,445e032bd30339c5b0cc2852b8f318db,0,61ac3c78c,1,4
130,1,Tiger Or Ti-girl,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41335,849d5c53eea804440adc2eebc4eecf4a,0,368b2adc1,5,4
131,2,Ibu & Kitten Yg Diabaikan,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,41326,73ba1badbbec9b9a37671b0dc84c1d5e,0,2e4c1faf7,3,1
132,2,MummyAndKitties,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,41332,c615548c8536989d6ff41c0428b59496,0,a85a1c8c3,3,2
133,2,Mocha (Reserved - Rose),8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,41326,23e54862081be8893f32f88cfb2f4bad,0,25c7d6c3b,8,2
134,2,JackJack (Black)& Turtle (Tor.shell,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,41332,9bccd71913b5034beb2b56fbc09ad6bb,0,0b819602d,2,4
135,1,Wong & Choi,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,41326,2dea9d1be190e7ccb927bbbab3c43c6f,0,4c594983d,5,4
136,1,Dober Mix,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,05f99fc56,4,2
137,2,Baby Hak,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,41326,ed71a1eeddcb2b5fb8bf1b6fcb9fa173,0,1dfadc371,1,3
138,1,Polly,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,6d9b202c9,10,3
139,1,Kaka,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,41326,d354f29091eed622077faaa0915b1c41,0,54791dc58,3,2
140,2,Manja,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,41326,f1ef4bef6ae16604d7a9025549d267e9,0,b36616178,7,2
141,2,Pillo,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,41401,2ed5e6622e8d49859f21f05895acbb02,0,2ac4dd8c2,5,3
142,2,Blueys,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,41401,edd50c202ca64fc1c596f33a1e7a07da,0,29f54c6ff,4,2
143,1,Sophieee,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,41fe1118eb61063bd10f3268953936da,0,48b418070,2,3
144,2,5 Cutie Kitty,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,41401,f98fe65b3bb68db1970f3f85135e3f26,0,c7eac7b01,5,2
145,1,,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,41326,310cd86ec76858f026b95e421b833294,0,8e0d65b3e,1,1
146,1,Latte,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,6842e4eee37d89afb73e4254fd198bcb,0,9a34ddc8b,2,2
147,2,Cat,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,41326,25d364ddacb543bb7a291911958af392,0,ff9f62e79,3,3
148,2,Putih And Oren,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,41401,4d8fde07f6c9e2d46b8dff04ad911e2b,0,4a6ee5d02,2,2
149,1,Roscoe,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,41326,8990faa0bc978c8f5604caeca57374ee,0,474bccd75,2,2
150,1,Winnie,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,41332,a122520ed8898a9d95086890fd0e3f1d,0,e4abb93bf,2,3
151,2,Manis,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,41326,bfa8d32cc12199d2eab33057963bae7c,0,120805f93,2,3
152,2,Tobby,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,41326,ca58077c7cd1124f91f76ec54937aaea,0,2acf3fdce,2,1
153,2,Lily,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,41401,ade404aff4df59c811a26246f3b10b20,1,e1ecc1b26,3,2
154,1,1 Month Old Puppies,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,41326,10f070fe1c098a8f58fe6ced493f2a8e,0,a8cdba660,11,4
155,1,,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,41401,d0d416c617213a17f3baf64dccdf554d,0,9bcd62ef1,4,3
156,1,No Name,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,41326,13e30717f49ea56c325305aec4e03559,1,c3f2f166d,1,4
157,1,Ffiona,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,41327,7f74401ff1a7ca18737bc527ccf23a45,0,687e9c33c,1,4
158,1,Scooby,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,41330,d5eaec548f716a75d0e517a02548a46e,0,bb5f471dd,1,2
159,2,"Snowy, Luna, Rajah",1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,41401,13b3c0d8590208d6e60e7118bc3b98d1,0,0aaf6976a,13,2
160,2,No Name,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,41401,f01e3c8a2650ce3eabb08e3346b5f543,0,45600eaab,3,1
161,1,,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,41401,b607eb7ae80024c9a6a3975bd41a4f8b,0,dcba09ff1,5,1
162,1,Nutella,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41326,0008ef529da74e9701db7eaaa4d9115a,0,d7f938acd,4,1
163,1,DO RE MI,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,41326,6e7b6af9b1da8082af799a663b130144,0,ea11b6f12,3,3
164,1,,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,41326,6144480d3ba7191b4c6cb414377e5312,0,3332eb59c,5,4
166,1,"Rhapsody, Bay, Harmony, Classic & Symph",3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,594e3dc3f,1,4
167,1,BB,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,fbb112b7e,4,3
168,1,Cute Female Puppies Looking A Home~,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,41401,fd5457d594938e4ece766cae6eaea6a5,0,d14d62508,2,2
169,2,Aswad,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,41326,2fd71579abb6b187630197e7d5b3f1db,0,5de61cf6b,3,2
170,2,Sunset,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,41401,2181fc2a61447996c1e5cee02738b5c3,0,b9590d4de,1,0
171,1,Lady,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,41326,365de0555b7bfb8f4b6d0bdddf76c72a,0,747c82f83,9,2
172,2,Little Yellow Cat,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,41401,79822972785816f4393293afe2616d1d,0,3004c3401,3,4
173,1,Harvey,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,41401,a52131699bc8ae1a76da9109a968eebe,0,c737c30d7,1,4
174,1,Pups For Adoption,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,03b0568b3,5,3
175,2,Tabby Male,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,41326,c28d7a4697a2b731ec973c4c95ff8321,0,987baa1c7,4,2
176,2,Abu Nawas,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,0fe2f817659a685538bbbf5c90b7b8b7,0,70b3d1f9c,1,2
177,2,Silvy,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,41326,c6b4576571bdfcf30804b96593efcf3b,0,27456ec0f,4,2
178,1,Java,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,5c28a8cec,3,2
179,1,CUTIE,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,41326,54d38ef98d952efc45bfbe7e59cc1a8d,0,2c8ae4c7e,2,4
180,1,Money,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,cd7bea671,3,3
